From Date,CO,Ozone
01-01-2020 0:00,None,None
01-01-2020 8:00,None,None
01-01-2020 16:00,None,None
02-01-2020 0:00,None,None
02-01-2020 8:00,None,None
02-01-2020 16:00,0.91,21.82
03-01-2020 0:00,0.68,18.88
03-01-2020 8:00,0.97,25.26
03-01-2020 16:00,1.18,25.1
04-01-2020 0:00,0.81,25.14
04-01-2020 8:00,1.21,29
04-01-2020 16:00,4.09,32.46
05-01-2020 0:00,1.04,33.01
05-01-2020 8:00,0.95,31.4
05-01-2020 16:00,1.21,30.47
06-01-2020 0:00,None,None
06-01-2020 8:00,0.96,24.18
06-01-2020 16:00,1.16,27
07-01-2020 0:00,0.98,23.17
07-01-2020 8:00,0.9,32.73
07-01-2020 16:00,1.08,32.4
08-01-2020 0:00,0.9,23.57
08-01-2020 8:00,0.97,28.39
08-01-2020 16:00,1.09,34.14
09-01-2020 0:00,0.91,25.49
09-01-2020 8:00,1.09,32.84
09-01-2020 16:00,1.31,33.72
10-01-2020 0:00,None,None
10-01-2020 8:00,1.02,32.36
10-01-2020 16:00,0.93,31.63
11-01-2020 0:00,0.91,27.22
11-01-2020 8:00,1.01,34.7
11-01-2020 16:00,1.1,40.52
12-01-2020 0:00,0.98,40.42
12-01-2020 8:00,0.98,49.29
12-01-2020 16:00,0.85,40.27
13-01-2020 00:00,None,None
13-01-2020 08:00,None,None
13-01-2020 16:00,None,None
14-01-2020 00:00,None,None
14-01-2020 08:00,None,None
14-01-2020 16:00,None,None
15-01-2020 00:00,None,None
15-01-2020 08:00,None,None
15-01-2020 16:00,None,None
16-01-2020 00:00,None,None
16-01-2020 08:00,None,None
16-01-2020 16:00,0.68,16.18
17-01-2020 00:00,0.62,17.43
17-01-2020 08:00,0.95,24.29
17-01-2020 16:00,2.03,30.83
18-01-2020 00:00,0.95,20.06
18-01-2020 08:00,1,25.81
18-01-2020 16:00,1.06,39.43
19-01-2020 00:00,0.86,39.64
19-01-2020 08:00,0.91,39.18
19-01-2020 16:00,1.09,39.81
20-01-2020 00:00,0.96,21.27
20-01-2020 08:00,0.99,29.01
20-01-2020 16:00,1.28,40.17
21-01-2020 00:00,1.09,27.39
21-01-2020 08:00,1.11,27.3
21-01-2020 16:00,1.25,33.68
22-01-2020 00:00,0.96,25.33
22-01-2020 08:00,1.08,32.07
22-01-2020 16:00,1.23,38.88
23-01-2020 00:00,1.04,27.94
23-01-2020 08:00,1.08,33.59
23-01-2020 16:00,1.16,41.78
24-01-2020 00:00,1.05,41.22
24-01-2020 08:00,1.06,50.15
24-01-2020 16:00,1.29,33.74
25-01-2020 00:00,1.38,29.4
25-01-2020 08:00,1.13,30.53
25-01-2020 16:00,1.25,29.34
26-01-2020 00:00,1.36,23.1
26-01-2020 08:00,1.17,29.48
26-01-2020 16:00,1.33,31.42
27-01-2020 00:00,2.29,24.55
27-01-2020 08:00,1.5,27.44
27-01-2020 16:00,None,None
28-01-2020 00:00,None,None
28-01-2020 08:00,1.41,25.02
28-01-2020 16:00,1.76,24.8
29-01-2020 00:00,1.23,24.97
29-01-2020 08:00,1.49,25.78
29-01-2020 16:00,1.36,25.17
30-01-2020 00:00,2.2,24.5
30-01-2020 08:00,1.6,24.7
30-01-2020 16:00,2.02,24.9
31-01-2020 00:00,1.13,25.07
31-01-2020 08:00,1.49,36.38
31-01-2020 16:00,1.24,38.73
01-02-2020 0:00,0.93,38.11
01-02-2020 8:00,0.97,41.94
01-02-2020 16:00,1.08,41.01
02-02-2020 0:00,0.85,30.43
02-02-2020 8:00,0.89,31.26
02-02-2020 16:00,1.03,26.59
03-02-2020 0:00,0.82,22.85
03-02-2020 8:00,1,27.47
03-02-2020 16:00,1.17,38.62
04-02-2020 0:00,0.97,38.3
04-02-2020 8:00,0.95,42.6
04-02-2020 16:00,1.25,32.58
05-02-2020 0:00,0.94,32.98
05-02-2020 8:00,1.05,36.78
05-02-2020 16:00,1.1,32.67
06-02-2020 0:00,1.18,31.12
06-02-2020 8:00,1.48,36.56
06-02-2020 16:00,1.27,31.18
07-02-2020 0:00,0.98,26.47
07-02-2020 8:00,1.16,30.2
07-02-2020 16:00,1.57,43.08
08-02-2020 0:00,1.06,22.16
08-02-2020 8:00,1.22,32.89
08-02-2020 16:00,1.79,42.99
09-02-2020 0:00,0.9,44.09
09-02-2020 8:00,0.97,43.72
09-02-2020 16:00,1,42.06
10-02-2020 0:00,0.96,26.2
10-02-2020 8:00,0.97,34.22
10-02-2020 16:00,1.1,41.37
11-02-2020 0:00,0.98,29.15
11-02-2020 8:00,0.96,37.47
11-02-2020 16:00,1.2,36.6
12-02-2020 0:00,0.88,25.5
12-02-2020 8:00,1.03,28.88
12-02-2020 16:00,1.14,39.04
13-02-2020 00:00,1.06,38.84
13-02-2020 08:00,1.1,39.12
13-02-2020 16:00,1.63,38.08
14-02-2020 00:00,1.07,39.12
14-02-2020 08:00,1.74,43.31
14-02-2020 16:00,2.56,38.92
15-02-2020 00:00,1.37,28.26
15-02-2020 08:00,1.28,33.19
15-02-2020 16:00,2.15,40.19
16-02-2020 00:00,0.98,26.42
16-02-2020 08:00,0.99,32.62
16-02-2020 16:00,1.35,41.03
17-02-2020 00:00,1.07,41.12
17-02-2020 08:00,1.16,47.79
17-02-2020 16:00,2.02,52.98
18-02-2020 00:00,1.19,53.42
18-02-2020 08:00,1.07,58.48
18-02-2020 16:00,1.18,39.41
19-02-2020 00:00,1.03,27.95
19-02-2020 08:00,1.06,36.21
19-02-2020 16:00,1.01,39.14
20-02-2020 00:00,0.95,24.36
20-02-2020 08:00,1.06,30.49
20-02-2020 16:00,1.04,35.56
21-02-2020 00:00,0.98,34.76
21-02-2020 08:00,0.89,38.53
21-02-2020 16:00,0.95,41.48
22-02-2020 00:00,0.99,39.33
22-02-2020 08:00,0.91,42.92
22-02-2020 16:00,1.01,43.63
23-02-2020 00:00,0.95,26.23
23-02-2020 08:00,0.98,33.82
23-02-2020 16:00,1.06,40.27
24-02-2020 00:00,0.95,24.09
24-02-2020 08:00,1.05,32.9
24-02-2020 16:00,1.18,38.81
25-02-2020 00:00,0.96,34.22
25-02-2020 08:00,1.14,42.1
25-02-2020 16:00,1.17,38.82
26-02-2020 00:00,1.05,29.98
26-02-2020 08:00,1.11,39.3
26-02-2020 16:00,1.12,36.16
27-02-2020 00:00,1.03,26.27
27-02-2020 08:00,1.11,35.12
27-02-2020 16:00,1.51,40.47
28-02-2020 00:00,1.07,23.94
28-02-2020 08:00,1.12,30.3
28-02-2020 16:00,1.42,37.81
29-02-2020 00:00,1.14,37.33
29-02-2020 08:00,1.06,40.8
29-02-2020 16:00,1.38,41.12
01-03-2020 0:00,1.04,41.57
01-03-2020 8:00,1.06,51.82
01-03-2020 16:00,1.14,55.49
02-03-2020 0:00,1.01,29.55
02-03-2020 8:00,1.4,33.44
02-03-2020 16:00,2.06,33.05
03-03-2020 0:00,1.03,23.51
03-03-2020 8:00,1.54,31.98
03-03-2020 16:00,3.05,35.73
04-03-2020 0:00,1.12,36.81
04-03-2020 8:00,2.07,41.87
04-03-2020 16:00,2.9,40.12
05-03-2020 0:00,1.14,24.35
05-03-2020 8:00,1.47,32.1
05-03-2020 16:00,1.63,41.72
06-03-2020 0:00,1.2,44.34
06-03-2020 8:00,1.26,56.57
06-03-2020 16:00,1.51,62.79
07-03-2020 0:00,1.05,29.69
07-03-2020 8:00,1.3,31.82
07-03-2020 16:00,1.37,31.68
08-03-2020 0:00,1.26,23.67
08-03-2020 8:00,1.07,27.76
08-03-2020 16:00,1.01,42.48
09-03-2020 0:00,0.98,27.31
09-03-2020 8:00,1.3,36.33
09-03-2020 16:00,1.16,39.68
10-03-2020 0:00,0.94,39.2
10-03-2020 8:00,1.33,38.28
10-03-2020 16:00,1.04,32.92
11-03-2020 0:00,1.39,24.91
11-03-2020 8:00,1.35,33.94
11-03-2020 16:00,1.07,32.11
12-03-2020 0:00,1.18,9.44
12-03-2020 8:00,1.32,31.14
12-03-2020 16:00,1.12,36.47
13-03-2020 00:00,1.21,8.55
13-03-2020 08:00,1.05,35.75
13-03-2020 16:00,1.08,30.91
14-03-2020 00:00,0.98,11.13
14-03-2020 08:00,1.01,36.29
14-03-2020 16:00,1.08,19.07
15-03-2020 00:00,1.03,10.3
15-03-2020 08:00,0.94,25.07
15-03-2020 16:00,1.07,39.31
16-03-2020 00:00,0.8,9.81
16-03-2020 08:00,0.91,32.56
16-03-2020 16:00,0.98,45.5
17-03-2020 00:00,0.95,22.34
17-03-2020 08:00,0.79,39.48
17-03-2020 16:00,1,36.56
18-03-2020 00:00,0.92,23.36
18-03-2020 08:00,0.91,40.68
18-03-2020 16:00,1.05,53.73
19-03-2020 00:00,1.18,36.7
19-03-2020 08:00,1.26,45.44
19-03-2020 16:00,1.21,42.77
20-03-2020 00:00,1.12,22.79
20-03-2020 08:00,1.2,39.09
20-03-2020 16:00,1.33,63.39
21-03-2020 00:00,1.14,23.85
21-03-2020 08:00,1.33,29.8
21-03-2020 16:00,1.86,31.76
22-03-2020 00:00,0.95,24.32
22-03-2020 08:00,0.79,25.07
22-03-2020 16:00,1.02,24.51
23-03-2020 00:00,0.93,24.47
23-03-2020 08:00,1.07,35.35
23-03-2020 16:00,1.86,28.17
24-03-2020 00:00,1.17,15.01
24-03-2020 08:00,0.86,37.84
24-03-2020 16:00,0.89,44.36
25-03-2020 00:00,0.87,44.13
25-03-2020 08:00,0.78,45.11
25-03-2020 16:00,0.81,43.71
26-03-2020 00:00,0.97,28.65
26-03-2020 08:00,0.86,37.41
26-03-2020 16:00,0.79,44.59
27-03-2020 00:00,0.88,44.03
27-03-2020 08:00,0.82,44.12
27-03-2020 16:00,0.84,44.37
28-03-2020 00:00,0.86,24.72
28-03-2020 08:00,0.78,26.04
28-03-2020 16:00,0.83,43.26
29-03-2020 00:00,1.03,29.33
29-03-2020 08:00,None,None
29-03-2020 16:00,0.84,41.69
30-03-2020 00:00,None,None
30-03-2020 08:00,0.8,43.57
30-03-2020 16:00,0.83,45
31-03-2020 00:00,0.92,25.27
31-03-2020 08:00,0.8,31.54
31-03-2020 16:00,0.89,44.86
01-04-2020 0:00,0.98,28.73
01-04-2020 8:00,0.74,27.38
01-04-2020 16:00,0.87,27.28
02-04-2020 0:00,0.95,25.17
02-04-2020 8:00,0.51,37.99
02-04-2020 16:00,0.32,44.57
03-04-2020 0:00,0.35,44.69
03-04-2020 8:00,0.3,44.82
03-04-2020 16:00,0.28,40.92
04-04-2020 0:00,0.32,26.15
04-04-2020 8:00,0.3,33.41
04-04-2020 16:00,0.3,44.69
05-04-2020 0:00,0.3,24.57
05-04-2020 8:00,0.28,36.56
05-04-2020 16:00,0.34,41.76
06-04-2020 0:00,0.34,27.03
06-04-2020 8:00,0.35,29.39
06-04-2020 16:00,0.37,44.01
07-04-2020 0:00,0.28,27.14
07-04-2020 8:00,0.3,31.85
07-04-2020 16:00,0.42,33.41
08-04-2020 0:00,0.32,24.06
08-04-2020 8:00,0.41,37.78
08-04-2020 16:00,0.63,39.38
09-04-2020 0:00,0.63,27.67
09-04-2020 8:00,0.61,39.12
09-04-2020 16:00,0.53,41.91
10-04-2020 0:00,0.55,24.12
10-04-2020 8:00,0.45,37.76
10-04-2020 16:00,0.5,42.51
11-04-2020 0:00,0.52,24.17
11-04-2020 8:00,0.43,34.44
11-04-2020 16:00,0.53,32.79
12-04-2020 0:00,0.56,25.74
12-04-2020 8:00,0.47,35.43
12-04-2020 16:00,0.52,41.32
13-04-2020 00:00,0.83,24.97
13-04-2020 08:00,0.52,35.94
13-04-2020 16:00,0.54,38.18
14-04-2020 00:00,0.81,27.28
14-04-2020 08:00,0.42,36.62
14-04-2020 16:00,0.49,38.81
15-04-2020 00:00,0.62,26.84
15-04-2020 08:00,0.5,40.05
15-04-2020 16:00,0.55,39.9
16-04-2020 00:00,0.56,25.91
16-04-2020 08:00,0.46,34.57
16-04-2020 16:00,0.59,42.92
17-04-2020 00:00,0.57,26.4
17-04-2020 08:00,0.59,35.3
17-04-2020 16:00,0.62,41.63
18-04-2020 00:00,0.54,26.27
18-04-2020 08:00,0.56,39.97
18-04-2020 16:00,0.59,39.17
19-04-2020 00:00,0.6,27.8
19-04-2020 08:00,0.48,36.31
19-04-2020 16:00,0.48,45.26
20-04-2020 00:00,0.48,28.15
20-04-2020 08:00,0.47,37.55
20-04-2020 16:00,0.49,45.59
21-04-2020 00:00,0.56,28.31
21-04-2020 08:00,0.46,36.5
